,@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,prism:issueIdentifier,freetoread,freetoreadLabel,pubmed-id,prism:isbn
25,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85072779763', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85072779763?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072779763&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072779763&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0168169919302315'}",https://api.elsevier.com/content/abstract/scopus_id/85072779763,SCOPUS_ID:85072779763,2-s2.0-85072779763,Random forest techniques for spatial interpolation of evapotranspiration data from Brazilian's Northeast,da Silva Júnior J.,Computers and Electronics in Agriculture,01681699,,166,,2019-11-01,November 2019,10.1016/j.compag.2019.105017,S0168169919302315,9,"[{'@_fa': 'true', 'affilname': 'Universidade Federal Rural de Pernambuco', 'affiliation-city': 'Recife', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,105017,30441,0,False,,,,,
26,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85073429951', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85073429951?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073429951&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073429951&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85073429951,SCOPUS_ID:85073429951,2-s2.0-85073429951,Modeling the influence of eucalypt plantation on wildfire occurrence in the Brazilian savanna biome,de Castro Galizia L.F.,Forests,,19994907,10,,2019-10-01,1 October 2019,10.3390/f10100844,,1,"[{'@_fa': 'true', 'affilname': 'Itä-Suomen yliopisto', 'affiliation-city': 'Kuopio', 'affiliation-country': 'Finland'}, {'@_fa': 'true', 'affilname': 'Universitat de Lleida', 'affiliation-city': 'Lleida', 'affiliation-country': 'Spain'}]",Journal,ar,Article,844,21100219934,1,True,10,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,
27,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85044256964', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85044256964?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85044256964&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044256964&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1389934116304038'}",https://api.elsevier.com/content/abstract/scopus_id/85044256964,SCOPUS_ID:85044256964,2-s2.0-85044256964,A generalizable monitoring model to implement policies to promote forest restoration – A case study in São Paulo - Brazil,Nobre S.R.,Forest Policy and Economics,13899341,,103,123-135,2019-06-01,June 2019,10.1016/j.forpol.2018.03.001,S1389934116304038,0,"[{'@_fa': 'true', 'affilname': 'Universidad Politécnica de Madrid', 'affiliation-city': 'Madrid', 'affiliation-country': 'Spain'}]",Journal,ar,Article,,22223,0,False,,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,
28,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85078715789', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85078715789?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078715789&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078715789&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85078715789,SCOPUS_ID:85078715789,2-s2.0-85078715789,Creation of business profiles of exporting companies through unsupervised learning,de la Hoz-Dominguez E.J.,Informacion Tecnologica,07168756,07180764,30,193-200,2019-01-01,2019,10.4067/S0718-07642019000600193,,1,"[{'@_fa': 'true', 'affilname': 'Universidad Tecnológica de Bolívar', 'affiliation-city': 'Cartagena', 'affiliation-country': 'Colombia'}]",Journal,ar,Article,,22476,1,True,6,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,
29,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85054060337', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85054060337?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054060337&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054060337&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85054060337,SCOPUS_ID:85054060337,2-s2.0-85054060337,Simulated impacts of soy and infrastructure expansion in the Brazilian Amazon: A maximum entropy approach,Frey G.P.,Forests,,19994907,9,,2018-09-27,27 September 2018,10.3390/f9100600,,8,"[{'@_fa': 'true', 'affilname': 'Zentrum für Entwicklungsforschung', 'affiliation-city': 'Bonn', 'affiliation-country': 'Germany'}]",Journal,ar,Article,600,21100219934,1,True,10,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,
30,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85047244084', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85047244084?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047244084&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047244084&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0001706X17312111'}",https://api.elsevier.com/content/abstract/scopus_id/85047244084,SCOPUS_ID:85047244084,2-s2.0-85047244084,Modeling Dengue vector population using remotely sensed data and machine learning,Scavuzzo J.,Acta Tropica,0001706X,18736254,185,167-175,2018-09-01,September 2018,10.1016/j.actatropica.2018.05.003,S0001706X17312111,42,"[{'@_fa': 'true', 'affilname': 'Universidad Nacional de Córdoba', 'affiliation-city': 'Cordoba', 'affiliation-country': 'Argentina'}]",Journal,ar,Article,,21288,0,False,,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",29777650,
31,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85042640779', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85042640779?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85042640779&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85042640779&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85042640779,SCOPUS_ID:85042640779,2-s2.0-85042640779,Artificial intelligence in seeding density optimization and yield simulation for oat,Dornelles E.F.,Revista Brasileira de Engenharia Agricola e Ambiental,14154366,18071929,22,183-188,2018-03-01,March 2018,10.1590/1807-1929/agriambi.v22n3p183-188,,5,"[{'@_fa': 'true', 'affilname': 'Universidade Regional do Noroeste do Estado do Rio Grande do Sul', 'affiliation-city': 'Ijui', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,,4800156203,1,True,3,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,
32,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85033360591', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85033360591?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85033360591&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85033360591&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85033360591,SCOPUS_ID:85033360591,2-s2.0-85033360591,Comparative Coastal Risk Index (CCRI): A multidisciplinary risk index for Latin America and the Caribbean,Calil J.,PLoS ONE,,19326203,12,,2017-11-01,November 2017,10.1371/journal.pone.0187011,,17,"[{'@_fa': 'true', 'affilname': 'Monterey Institute of International Studies', 'affiliation-city': 'Monterey', 'affiliation-country': 'United States'}]",Journal,ar,Article,e0187011,10600153309,1,True,11,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",29095841,
33,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85020285344', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85020285344?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85020285344&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85020285344&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85020285344,SCOPUS_ID:85020285344,2-s2.0-85020285344,History matching through dynamic decisionmaking,Cavalcante C.,PLoS ONE,,19326203,12,,2017-06-01,June 2017,10.1371/journal.pone.0178507,,7,"[{'@_fa': 'true', 'affilname': 'Universidade Estadual de Campinas', 'affiliation-city': 'Campinas', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,e0178507,10600153309,1,True,6,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",28582413,
34,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85015045215', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85015045215?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85015045215&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85015045215&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85015045215,SCOPUS_ID:85015045215,2-s2.0-85015045215,The Assessment of Sustainability Indexes and Climate Change Impacts on Integrated Water Resource Management,Hernández-Bedolla J.,Water (Switzerland),,20734441,9,,2017-01-01,2017,10.3390/w9030213,,19,"[{'@_fa': 'true', 'affilname': 'University of Valence', 'affiliation-city': 'Valencia', 'affiliation-country': 'Spain'}]",Journal,ar,Article,213,21100255400,1,True,3,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,
35,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85009100595', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85009100595?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85009100595&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85009100595&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85009100595,SCOPUS_ID:85009100595,2-s2.0-85009100595,Response of tropical maize to supplemental irrigation strategies,Da Silva P.P.G.,"2016 American Society of Agricultural and Biological Engineers Annual International Meeting, ASABE 2016",,,,,2016-01-01,2016,10.13031/aim.20162460366,,0,"[{'@_fa': 'true', 'affilname': 'Federal University of Sao Joao del-Rei', 'affiliation-city': None, 'affiliation-country': 'United States'}]",Conference Proceeding,cp,Conference Paper,,21100791238,0,False,,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,"[{'@_fa': 'true', '$': '9781510828759'}]"
36,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85007418208', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85007418208?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85007418208&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85007418208&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85007418208,SCOPUS_ID:85007418208,2-s2.0-85007418208,Soil class prediction by data mining in an area of the sedimentary Sao Francisco basin,Dias L.,Pesquisa Agropecuaria Brasileira,0100204X,16783921,51,1396-1404,2016-01-01,2016,10.1590/S0100-204X2016000900038,,7,"[{'@_fa': 'true', 'affilname': 'Universidade Estadual de Campinas', 'affiliation-city': 'Campinas', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,,72196,1,True,9,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,
37,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84906903435', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84906903435?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84906903435&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906903435&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84906903435,SCOPUS_ID:84906903435,2-s2.0-84906903435,Assessment of data-driven modeling strategies for streamflow forecasting in a river of Sergipe,Santos J.,Revista Ambiente e Agua,1980993X,,9,488-498,2014-01-01,2014,10.4136/ambi-agua.1356,,3,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Sergipe', 'affiliation-city': 'Sao Cristovao', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,,21100239409,1,True,3,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,
38,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/84881653832', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/84881653832?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84881653832&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84881653832&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/84881653832,SCOPUS_ID:84881653832,2-s2.0-84881653832,An alternative approach to the actual Brazilian maize crop zoning,De Sousa Paixao J.,"American Society of Agricultural and Biological Engineers Annual International Meeting 2013, ASABE 2013",,,3,2205-2220,2013-01-01,2013,,,1,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Sao Joao del-Rei', 'affiliation-city': 'Sao Joao del Rei', 'affiliation-country': 'Brazil'}]",Conference Proceeding,cp,Conference Paper,,21100326902,0,False,,,,,"[{'@_fa': 'true', '$': '9781627486651'}]"
